image1	dummy
image2	kit fox
image3	English setter
image4	Siberian husky
image5	Australian terrier
image6	English springer
image7	grey whale
image8	lesser panda
image9	Egyptian cat
image10	ibex
image11	Persian cat
image12	cougar
image13	gazelle
image14	porcupine
image15	sea lion
image16	malamute
image17	badger
image18	Great Dane
image19	Walker hound
image20	Welsh springer spaniel
image21	whippet
image22	Scottish deerhound
image23	killer whale
image24	mink
image25	African elephant
image26	Weimaraner
image27	soft-coated wheaten terrier
image28	Dandie Dinmont
image29	red wolf
image30	Old English sheepdog
image31	jaguar
image32	otterhound
image33	bloodhound
image34	Airedale
image35	hyena
image36	meerkat
image37	giant schnauzer
image38	titi
image39	three-toed sloth
image40	sorrel
image41	black-footed ferret
image42	dalmatian
image43	black-and-tan coonhound
image44	papillon
image45	skunk
image46	Staffordshire bullterrier
image47	Mexican hairless
image48	Bouvier des Flandres
image49	weasel
image50	miniature poodle
image51	Cardigan
image52	malinois
image53	bighorn
image54	fox squirrel
image55	colobus
image56	tiger cat
image57	Lhasa
image58	impala
image59	coyote
image60	Yorkshire terrier
image61	Newfoundland
image62	brown bear
image63	red fox
image64	Norwegian elkhound
image65	Rottweiler
image66	hartebeest
image67	Saluki
image68	grey fox
image69	schipperke
image70	Pekinese
image71	Brabancon griffon
image72	West Highland white terrier
image73	Sealyham terrier
image74	guenon
image75	mongoose
image76	indri
image77	tiger
image78	Irish wolfhound
image79	wild boar
image80	EntleBucher
image81	zebra
image82	ram
image83	French bulldog
image84	orangutan
image85	basenji
image86	leopard
image87	Bernese mountain dog
image88	Maltese dog
image89	Norfolk terrier
image90	toy terrier
image91	vizsla
image92	cairn
image93	squirrel monkey
image94	groenendael
image95	clumber
image96	Siamese cat
image97	chimpanzee
image98	komondor
image99	Afghan hound
image100	Japanese spaniel
image101	proboscis monkey
image102	guinea pig
image103	white wolf
image104	ice bear
image105	gorilla
image106	borzoi
image107	toy poodle
image108	Kerry blue terrier
image109	ox
image110	Scotch terrier
image111	Tibetan mastiff
image112	spider monkey
