Id,AvailableStock,CatalogBrandId,CatalogTypeId,Description,MaxStockThreshold,Name,OnReorder,PictureFileName,PictureUri,Price,RestockThreshold,TagsJson
1,100,2,2,.NET Bot Black Hoodie,0,.NET Bot Black Hoodie,0,1.png,NULL,19.50,0,"{""color"":[""black""],""size"":[],""quantity"":[],""shape"":[],""agram"":""net"",""bgram"":""bot"",""abgram"":""net-bot"",""ygram"":null,""zgram"":""hoodie"",""yzgram"":""bot-hoodie"",""ProductId"":1,""Description"":"".NET Bot Black Hoodie"",""tagrams"":[""black"",""bot"",""bot-hoodie"",""hoodie"",""net"",""net-bot"",""jersey""]}"
2,100,2,1,.NET Black & White Mug,0,.NET Black & White Mug,0,2.png,NULL,8.50,0,"{""color"":[""black"",""white""],""size"":[],""quantity"":[],""shape"":[],""agram"":""net"",""bgram"":null,""abgram"":null,""ygram"":null,""zgram"":""mug"",""yzgram"":""net-mug"",""ProductId"":2,""Description"":"".NET Black & White Mug"",""tagrams"":[""black"",""mug"",""net"",""net-mug"",""white""]}"
3,100,5,2,Prism White T-Shirt,0,"Prism White T-Shirt, (comma)",0,3.png,NULL,12.00,0,"{""color"":[""white""],""size"":[],""quantity"":[],""shape"":[],""agram"":""prism"",""bgram"":null,""abgram"":null,""ygram"":null,""zgram"":""shirt"",""yzgram"":""prism-shirt"",""ProductId"":3,""Description"":""Prism White T-Shirt"",""tagrams"":[""prism"",""prism-shirt"",""shirt"",""white"",""jersey""]}"
4,100,2,2,.NET Foundation T-shirt,0,.NET Foundation T-shirt O'Donell (single quote),0,4.png,NULL,12.00,0,"{""color"":[],""size"":[],""quantity"":[],""shape"":[],""agram"":""net"",""bgram"":""foundation"",""abgram"":""net-foundation"",""ygram"":null,""zgram"":""shirt"",""yzgram"":""foundation-shirt"",""ProductId"":4,""Description"":"".NET Foundation T-shirt"",""tagrams"":[""foundation"",""foundation-shirt"",""net"",""net-foundation"",""shirt"",""jersey""]}"
5,100,5,3,Roslyn Red Sheet,0,"Roslyn Red Sheet ""double quotes""",0,5.png,NULL,8.50,0,"{""color"":[""red""],""size"":[],""quantity"":[],""shape"":[],""agram"":""roslyn"",""bgram"":null,""abgram"":null,""ygram"":null,""zgram"":""sheet"",""yzgram"":""roslyn-sheet"",""ProductId"":5,""Description"":""Roslyn Red Sheet"",""tagrams"":[""red"",""roslyn"",""roslyn-sheet"",""sheet"",""frisbee""]}"
6,100,2,2,.NET Blue Hoodie,0,.NET Blue 'Hoodie',0,6.png,NULL,12.00,0,"{""color"":[""blue""],""size"":[],""quantity"":[],""shape"":[],""agram"":""net"",""bgram"":null,""abgram"":null,""ygram"":null,""zgram"":""hoodie"",""yzgram"":""net-hoodie"",""ProductId"":6,""Description"":"".NET Blue Hoodie"",""tagrams"":[""blue"",""hoodie"",""net"",""net-hoodie"",""jersey""]}"
7,100,5,2,Roslyn Red T-Shirt,0,Roslyn Red T-Shirt,0,7.png,NULL,12.00,0,"{""color"":[""red""],""size"":[],""quantity"":[],""shape"":[],""agram"":""roslyn"",""bgram"":null,""abgram"":null,""ygram"":null,""zgram"":""shirt"",""yzgram"":""roslyn-shirt"",""ProductId"":7,""Description"":""Roslyn Red T-Shirt"",""tagrams"":[""red"",""roslyn"",""roslyn-shirt"",""shirt"",""jersey""]}"
8,100,5,2,Kudu Purple Hoodie,0,Kudu Purple Hoodie,0,8.png,NULL,8.50,0,"{""color"":[""purple""],""size"":[],""quantity"":[],""shape"":[],""agram"":""kudu"",""bgram"":null,""abgram"":null,""ygram"":null,""zgram"":""hoodie"",""yzgram"":""kudu-hoodie"",""ProductId"":8,""Description"":""Kudu Purple Hoodie"",""tagrams"":[""hoodie"",""kudu"",""kudu-hoodie"",""purple"",""jersey""]}"
9,100,5,1,Cup<T> White Mug,0,Cup<T> White Mug,0,9.png,NULL,12.00,0,"{""color"":[""white""],""size"":[],""quantity"":[],""shape"":[],""agram"":""cup"",""bgram"":null,""abgram"":null,""ygram"":null,""zgram"":""mug"",""yzgram"":""cup-mug"",""ProductId"":9,""Description"":""Cup<T> White Mug"",""tagrams"":[""cup"",""cup-mug"",""mug"",""white""]}"
10,100,2,3,.NET Foundation Sheet,0,.NET Foundation Sheet,0,10.png,NULL,12.00,0,"{""color"":[],""size"":[],""quantity"":[],""shape"":[],""agram"":""net"",""bgram"":""foundation"",""abgram"":""net-foundation"",""ygram"":null,""zgram"":""sheet"",""yzgram"":""foundation-sheet"",""ProductId"":10,""Description"":"".NET Foundation Sheet"",""tagrams"":[""foundation"",""foundation-sheet"",""net"",""net-foundation"",""sheet"",""frisbee""]}"
