next,productId,year,month,units,avg,count,max,min,prev
263,108,2017,1,400,40,10,110,2,366
117,108,2017,2,263,43,6,200,3,400
30,108,2017,3,117,14,8,60,1,263
8,108,2017,4,30,7,4,14,3,117
35,108,2017,5,8,4,2,6,2,30
177,108,2017,6,35,5,7,10,1,8
152,108,2017,7,177,19,9,100,1,35
68,108,2017,8,152,38,4,100,2,177
69,108,2017,9,68,8,8,20,1,152
165,108,2017,10,69,7,9,21,1,68
16,109,2017,1,32,32,1,32,32,65
49,109,2017,2,16,16,1,16,16,32
35,109,2017,3,49,16,3,32,1,16
96,109,2017,4,35,11,3,16,3,49
96,109,2017,5,96,24,4,32,16,35
53,109,2017,6,96,19,5,32,16,96
498,109,2017,7,53,13,4,16,5,96
79,109,2017,8,498,99,5,384,2,53
112,109,2017,9,79,9,8,16,1,498
101,109,2017,10,112,12,9,48,1,79
72,111,2017,1,168,168,1,168,168,38
96,111,2017,2,72,36,2,48,24,168
540,111,2017,3,96,24,4,48,12,72
816,111,2017,4,540,77,7,240,12,96
1620,111,2017,5,816,74,11,300,12,540
205,111,2017,6,1620,180,9,1248,12,816
108,111,2017,7,205,34,6,96,1,1620
387,111,2017,8,108,21,5,24,12,205
1788,111,2017,9,387,35,11,168,3,108
557,111,2017,10,1788,298,6,1200,24,387
2172,112,2017,1,912,101,9,636,12,132
2912,112,2017,2,2172,167,13,1212,12,912
1900,112,2017,3,2912,224,13,1200,12,2172
3888,112,2017,4,1900,118,16,684,1,2912
3096,112,2017,5,3888,185,21,828,12,1900
3384,112,2017,6,3096,140,22,996,12,3888
1212,112,2017,7,3384,199,17,1812,12,3096
444,112,2017,8,1212,75,16,732,12,3384
1212,112,2017,9,444,31,14,120,12,1212
564,112,2017,10,1212,75,16,600,12,444
9,114,2017,1,20,6,3,18,1,6
93,114,2017,2,9,3,3,7,1,20
39,114,2017,3,93,11,8,50,1,9
68,114,2017,4,39,5,7,7,2,93
57,114,2017,5,68,6,10,18,1,39
44,114,2017,6,57,4,12,9,1,68
19,114,2017,7,44,8,5,12,6,57
29,114,2017,8,19,4,4,6,1,44
3,114,2017,9,29,9,3,18,5,19
33,114,2017,10,3,3,1,3,3,29
115,118,2017,1,189,12,15,72,1,171
120,118,2017,2,115,8,14,51,1,189
62,118,2017,3,120,12,10,36,1,115
195,118,2017,4,62,5,11,24,1,120
141,118,2017,5,195,15,13,63,1,62
514,118,2017,6,141,9,15,33,1,195
215,118,2017,7,514,27,19,120,1,141
259,118,2017,8,215,12,17,60,1,514
548,118,2017,9,259,12,21,62,2,215
165,118,2017,10,548,28,19,183,1,259
257,119,2017,1,132,8,16,34,1,120
472,119,2017,2,257,13,19,128,1,132
169,119,2017,3,472,22,21,158,1,257
337,119,2017,4,169,9,17,60,1,472
383,119,2017,5,337,21,16,73,1,169
