next,productId,year,month,units,avg,count,max,min,prev
50,100,2017,1,337,25,13,132,1,224
23,100,2017,2,50,10,5,24,1,337
189,100,2017,3,23,4,5,6,2,50
24,101,2017,6,48,48,1,48,48,2
60,101,2017,7,24,12,2,12,12,48
60,101,2017,8,60,15,4,24,12,24
6,101,2017,9,60,15,4,24,12,60
91,101,2017,10,6,2,3,3,1,60
29,102,2017,2,30,30,1,30,30,16
3,102,2017,3,29,9,3,16,2,30
5,102,2017,5,3,1,2,2,1,29
35,102,2017,7,5,5,1,5,5,3
10,102,2017,8,35,17,2,30,5,5
10,102,2017,9,10,2,4,5,1,35
49,102,2017,10,10,5,2,5,5,10
5,104,2017,2,3,3,1,3,3,4
4,104,2017,3,5,2,2,4,1,3
4,105,2017,3,4,4,1,4,4,5
4,105,2017,9,4,4,1,4,4,4
112,106,2017,1,160,32,5,60,20,143
82,106,2017,3,112,18,6,41,4,160
107,106,2017,4,82,16,5,21,1,112
13,106,2017,5,107,21,5,100,1,82
176,106,2017,6,13,6,2,12,1,107
85,106,2017,7,176,35,5,120,4,13
210,106,2017,8,85,28,3,40,20,176
50,106,2017,9,210,70,3,150,20,85
62,106,2017,10,50,12,4,20,3,210
37,107,2017,1,90,22,4,40,10,123
83,107,2017,2,37,7,5,10,3,90
75,107,2017,3,83,20,4,30,2,37
33,107,2017,4,75,37,2,70,5,83
428,107,2017,5,33,8,4,20,1,75
642,107,2017,6,428,28,15,102,2,33
640,107,2017,7,642,37,17,100,2,428
193,107,2017,8,640,42,15,140,2,642
263,108,2017,1,400,40,10,110,2,366
117,108,2017,2,263,43,6,200,3,400
30,108,2017,3,117,14,8,60,1,263
8,108,2017,4,30,7,4,14,3,117
35,108,2017,5,8,4,2,6,2,30
177,108,2017,6,35,5,7,10,1,8
152,108,2017,7,177,19,9,100,1,35
68,108,2017,8,152,38,4,100,2,177
69,108,2017,9,68,8,8,20,1,152
165,108,2017,10,69,7,9,21,1,68
16,109,2017,1,32,32,1,32,32,65
49,109,2017,2,16,16,1,16,16,32
35,109,2017,3,49,16,3,32,1,16
96,109,2017,4,35,11,3,16,3,49
96,109,2017,5,96,24,4,32,16,35
53,109,2017,6,96,19,5,32,16,96
498,109,2017,7,53,13,4,16,5,96
79,109,2017,8,498,99,5,384,2,53
112,109,2017,9,79,9,8,16,1,498
101,109,2017,10,112,12,9,48,1,79
89,110,2017,6,10,10,1,10,10,5
2,110,2017,7,89,22,4,60,4,10
3,110,2017,8,2,2,1,2,2,89
10,110,2017,9,3,3,1,3,3,2
22,110,2017,10,10,10,1,10,10,3
72,111,2017,1,168,168,1,168,168,38
96,111,2017,2,72,36,2,48,24,168
540,111,2017,3,96,24,4,48,12,72
816,111,2017,4,540,77,7,240,12,96
1620,111,2017,5,816,74,11,300,12,540
205,111,2017,6,1620,180,9,1248,12,816
108,111,2017,7,205,34,6,96,1,1620
387,111,2017,8,108,21,5,24,12,205
1788,111,2017,9,387,35,11,168,3,108
557,111,2017,10,1788,298,6,1200,24,387
2172,112,2017,1,912,101,9,636,12,132
2912,112,2017,2,2172,167,13,1212,12,912
1900,112,2017,3,2912,224,13,1200,12,2172
3888,112,2017,4,1900,118,16,684,1,2912
3096,112,2017,5,3888,185,21,828,12,1900
3384,112,2017,6,3096,140,22,996,12,3888
1212,112,2017,7,3384,199,17,1812,12,3096
444,112,2017,8,1212,75,16,732,12,3384
1212,112,2017,9,444,31,14,120,12,1212
564,112,2017,10,1212,75,16,600,12,444
8,113,2017,1,18,6,3,10,4,17
52,113,2017,3,8,4,2,6,2,18
574,113,2017,4,52,8,6,24,1,8
405,113,2017,5,574,57,10,300,4,52
204,113,2017,6,405,45,9,250,5,574
65,113,2017,7,204,51,4,102,10,405
56,113,2017,8,65,9,7,20,2,204
112,113,2017,9,56,9,6,48,1,65
46,113,2017,10,112,37,3,50,12,56
9,114,2017,1,20,6,3,18,1,6
93,114,2017,2,9,3,3,7,1,20
39,114,2017,3,93,11,8,50,1,9
68,114,2017,4,39,5,7,7,2,93
57,114,2017,5,68,6,10,18,1,39
44,114,2017,6,57,4,12,9,1,68
19,114,2017,7,44,8,5,12,6,57
29,114,2017,8,19,4,4,6,1,44
3,114,2017,9,29,9,3,18,5,19
33,114,2017,10,3,3,1,3,3,29
14,115,2017,1,24,12,2,18,6,2
68,115,2017,2,14,4,3,12,1,24
24,115,2017,3,68,17,4,50,6,14
109,115,2017,4,24,4,6,6,1,68
35,115,2017,5,109,9,12,51,1,24
25,115,2017,6,35,4,8,9,1,109
6,115,2017,7,25,6,4,8,5,35
78,116,2017,2,8,4,2,6,2,7
9,116,2017,3,78,15,5,50,1,8
31,116,2017,4,9,2,4,6,1,78
39,116,2017,5,31,4,7,8,1,9
28,116,2017,6,39,4,9,8,1,31
13,116,2017,7,28,5,5,12,1,39
29,116,2017,8,13,4,3,6,1,28
5,116,2017,9,29,5,5,12,1,13
17,116,2017,10,5,2,2,4,1,29
132,117,2017,2,6,6,1,6,6,32
27,117,2017,3,132,18,7,51,1,6
66,117,2017,4,27,3,9,6,1,132
34,117,2017,5,66,6,10,21,1,27
103,117,2017,6,34,4,8,12,1,66
19,117,2017,7,103,14,7,70,1,34
101,117,2017,8,19,9,2,18,1,103
78,117,2017,9,101,16,6,75,1,19
24,117,2017,10,78,26,3,72,1,101
115,118,2017,1,189,12,15,72,1,171
120,118,2017,2,115,8,14,51,1,189
62,118,2017,3,120,12,10,36,1,115
195,118,2017,4,62,5,11,24,1,120
141,118,2017,5,195,15,13,63,1,62
514,118,2017,6,141,9,15,33,1,195
215,118,2017,7,514,27,19,120,1,141
259,118,2017,8,215,12,17,60,1,514
548,118,2017,9,259,12,21,62,2,215
165,118,2017,10,548,28,19,183,1,259
257,119,2017,1,132,8,16,34,1,120
472,119,2017,2,257,13,19,128,1,132
169,119,2017,3,472,22,21,158,1,257
337,119,2017,4,169,9,17,60,1,472
383,119,2017,5,337,21,16,73,1,169
684,119,2017,6,383,18,21,124,1,337
413,119,2017,7,684,36,19,128,2,383
338,119,2017,8,413,22,18,63,1,684
269,119,2017,9,338,16,20,66,1,413
157,119,2017,10,269,14,18,64,1,338
25,120,2017,1,15,3,5,4,1,71
36,120,2017,2,25,3,7,7,1,15
92,120,2017,3,36,5,7,12,1,25
76,120,2017,4,92,10,9,60,1,36
28,120,2017,5,76,12,6,60,1,92
143,120,2017,6,28,4,7,9,1,76
79,120,2017,7,143,11,13,72,1,28
48,120,2017,8,79,8,9,51,1,143
49,120,2017,9,48,3,14,12,1,79
85,120,2017,10,49,4,10,29,1,48
12,121,2017,3,8,2,4,4,1,1
36,121,2017,4,12,2,5,6,1,8
55,121,2017,5,36,5,7,11,2,12
12,121,2017,6,55,6,8,11,3,36
19,121,2017,7,12,1,7,2,1,55
2,121,2017,8,19,4,4,10,2,12
1,121,2017,9,2,1,2,1,1,19
2,121,2017,10,1,1,1,1,1,2
6,122,2017,1,3,3,1,3,3,1
11,122,2017,3,6,3,2,4,2,3
22,122,2017,4,11,2,5,4,1,6
42,122,2017,5,22,2,11,6,1,11
7,122,2017,6,42,5,8,20,1,22
21,122,2017,7,7,2,3,3,2,42
1,122,2017,8,21,4,5,10,1,7
1,122,2017,9,1,1,1,1,1,21
8,123,2017,3,13,6,2,11,2,4
84,123,2017,4,8,2,3,5,1,13
54,123,2017,5,84,14,6,31,2,8
25,123,2017,6,54,13,4,30,1,84
4,123,2017,7,25,6,4,10,2,54
1,123,2017,8,4,2,2,2,2,25
16,124,2017,1,38,3,10,12,1,46
16,124,2017,2,16,3,5,4,1,38
3,124,2017,3,16,3,5,4,1,16
29,124,2017,4,3,1,2,2,1,16
12,124,2017,5,29,4,6,8,1,3
43,124,2017,6,12,2,5,5,1,29
93,124,2017,7,43,4,9,13,2,12
75,124,2017,8,93,9,10,60,1,43
22,124,2017,9,75,5,13,12,1,93
18,124,2017,10,22,2,8,4,1,75
72,125,2017,2,20,20,1,20,20,14
240,125,2017,3,72,72,1,72,72,20
49,125,2017,4,240,240,1,240,240,72
128,125,2017,6,49,16,3,36,1,240
458,125,2017,7,128,16,8,48,1,49
268,125,2017,8,458,76,6,288,2,128
