LastName,SelectedClusterId
Thomas,2
Jackson,2
Mitchell,3
Peterson,3
Wood,2
Price,2
Foster,2
Sanders,2
Butler,2
Fisher,2
Smith,3
Rodriguez,3
Martin,2
Campbell,3
Bell,3
Cox,3
Lee,2
Nelson,2
Rogers,1
Richardson,2
Brooks,2
Long,1
Harris,2
Clark,2
Sanchez,2
Wright,2
Turner,2
Cooper,2
Ward,2
Reed,2
Powell,2
Miller,2
Young,2
Scott,2
Kelly,2
Morales,2
Gutierrez,1
Brown,1
Taylor,1
Lewis,1
Robinson,1
King,1
Green,1
Baker,2
Carter,1
Murphy,1
Rivera,1
Bailey,1
Diaz,1
Watson,1
James,1
Hughes,1
Jones,1
Wilson,1
Hill,1
Torres,1
Edwards,1
Stewart,1
Morgan,1
Bennett,1
Sullivan,1
Ortiz,1
Perry,1
Thompson,1
Lopez,2
Gonzalez,2
Allen,2
Ramirez,2
Reyes,2
Barnes,2
Hall,2
Parker,2
Collins,1
Gomez,2
Howard,2
Davis,2
Martinez,2
Gray,3
Garcia,2
White,2
Johnson,3
Moore,3
Phillips,3
Flores,3
Morris,3
Williams,2
Walker,1
Perez,1
Adams,1
Myers,1
Ross,1
Nguyen,2
Evans,2
Anderson,3
Cook,3
Jenkins,3
Russell,3
Hernandez,1
Cruz,1
Roberts,2
