Input1	Input2	Input3	Input4	Input5	Input6	Output1	Output2	Output3
1	0	1	0	1	0	1	1	1
1	0	1	0	0	0	1	1	0
1	0	1	0	0	1	1	1	1
1	0	1	0	1	1	1	1	0
1	0	0	0	1	0	1	0	1
1	0	0	0	0	0	1	0	0
1	0	0	0	0	1	1	0	1
1	0	0	0	1	1	1	0	0
1	0	0	1	1	0	1	1	1
1	0	0	1	0	0	1	1	0
1	0	0	1	0	1	1	1	1
1	0	0	1	1	1	1	1	0
1	0	1	1	1	0	1	0	1
1	0	1	1	0	0	1	0	0
1	0	1	1	0	1	1	0	1
1	0	1	1	1	1	1	0	0
0	0	1	0	1	0	0	1	1
0	0	1	0	0	0	0	1	0
0	0	1	0	0	1	0	1	1
0	0	1	0	1	1	0	1	0
0	0	0	0	1	0	0	0	1
0	0	0	0	0	0	0	0	0
0	0	0	0	0	1	0	0	1
0	0	0	0	1	1	0	0	0
0	0	0	1	1	0	0	1	1
0	0	0	1	0	0	0	1	0
0	0	0	1	0	1	0	1	1
0	0	0	1	1	1	0	1	0
0	0	1	1	1	0	0	0	1
0	0	1	1	0	0	0	0	0
0	0	1	1	0	1	0	0	1
0	0	1	1	1	1	0	0	0
0	1	1	0	1	0	1	1	1
0	1	1	0	0	0	1	1	0
0	1	1	0	0	1	1	1	1
0	1	1	0	1	1	1	1	0
0	1	0	0	1	0	1	0	1
0	1	0	0	0	0	1	0	0
0	1	0	0	0	1	1	0	1
0	1	0	0	1	1	1	0	0
0	1	0	1	1	0	1	1	1
0	1	0	1	0	0	1	1	0
0	1	0	1	0	1	1	1	1
0	1	0	1	1	1	1	1	0
0	1	1	1	1	0	1	0	1
0	1	1	1	0	0	1	0	0
0	1	1	1	0	1	1	0	1
0	1	1	1	1	1	1	0	0
1	1	1	0	1	0	0	1	1
1	1	1	0	0	0	0	1	0
1	1	1	0	0	1	0	1	1
1	1	1	0	1	1	0	1	0
1	1	0	0	1	0	0	0	1
1	1	0	0	0	0	0	0	0
1	1	0	0	0	1	0	0	1
1	1	0	0	1	1	0	0	0
1	1	0	1	1	0	0	1	1
1	1	0	1	0	0	0	1	0
1	1	0	1	0	1	0	1	1
1	1	0	1	1	1	0	1	0
1	1	1	1	1	0	0	0	1
1	1	1	1	0	0	0	0	0
1	1	1	1	0	1	0	0	1
1	1	1	1	1	1	0	0	0
