LastName,SelectedClusterId
Thomas,2
Jackson,2
Mitchell,3
Peterson,2
Wood,2
Price,2
Foster,2
Sanders,2
Butler,2
Fisher,2
Smith,3
Rodriguez,3
Martin,3
Campbell,3
Bell,3
Cox,3
Lee,1
Nelson,3
Rogers,1
Richardson,1
Brooks,3
Long,3
Harris,1
Clark,3
Sanchez,2
Wright,1
Turner,1
Cooper,3
Ward,3
Reed,3
Powell,3
Miller,2
Young,2
Scott,2
Kelly,2
Morales,1
Gutierrez,3
Brown,3
Taylor,3
Lewis,3
Robinson,3
King,3
Green,3
Baker,3
Carter,3
Murphy,3
Rivera,3
Bailey,3
Diaz,3
Watson,3
James,3
Hughes,3
Jones,3
Wilson,3
Hill,3
Torres,3
Edwards,3
Stewart,3
Morgan,3
Bennett,3
Sullivan,3
Ortiz,3
Perry,3
Thompson,3
Lopez,3
Gonzalez,3
Allen,3
Ramirez,3
Reyes,3
Barnes,2
Hall,3
Parker,3
Collins,3
Gomez,3
Howard,3
Davis,3
Martinez,3
Gray,3
Garcia,3
White,2
Johnson,3
Moore,3
Phillips,3
Flores,3
Morris,3
Williams,3
Walker,3
Perez,3
Adams,3
Myers,3
Ross,3
Nguyen,3
Evans,3
Anderson,3
Cook,3
Jenkins,3
Russell,3
Hernandez,3
Cruz,3
Roberts,3
